Titre,Date de clôture,Lieu de travail,Sexe,Niveau,Description
STAGIAIRE ASSITANT RESEAU INFORMATIQUE ET TELECOMMUNICATION,Date de clôture: 04/09/2024,ANGRE,MASCULIN,BAC+2,"RESEAU INFORMATIQUE
ASSISTER LE PERSONNEL DANS LEUR USAGE BUREAUTIQUE
MAINTENANT DU RESEAU, ADRESSE IP, MAITRISE DU SYSTEME D'EXPLOITATION WINDOWS, MAITRISER ET SAVOIR DEPLOYER UN SERVEUR WINDOWS
SAVOIR SECURISER UN RESEAU PRISE (MAITRISER FORTIGUTE)"
STAGIAIRE ASSISTANT LOGISTIQUE,Date de clôture: 18/09/2024,ANGRE,FEMININ,BAC+2,"RECOIT ET VEILLE A LA CONFORMITE DES LIVRAISONS
ASSURE LE RANGEMENT DES PRODUITS
PREPARE LES COMMANDES ET CONDITIONNE LES PRODUITS
ASSURE LEUR EXPEDITION
STOCK LES PRODUITS EN RESPECTANT LES INSTRUCTIONS DE L'ENTREPRISE
ENREGISTRER ET TRACER LES PRODUITS EN STOCKS EFFECTUER LES INVENTAIRES"
STAGIAIRE AUXILIAIRE EN PHARMACIE,Date de clôture: 04/09/2024,MARCORY REMBLAIS,FEMININ,BAC+1,"VENTE DE PRODUITS PHARMACEUTIQUES
VENDEUR EN PHARMACIE"
ASSISTANTE COMPTABLE,Date de clôture: 17/09/2024,BONDOUKOU,FEMININ,TERMINALE,"ENREGISTRER LES DONNEES FINANCIERES, COMMERCIALES
SAISIR DES TITRES ET FACTURES
REALISER UN SUIVI DE TRESORERIE"
CAISSIERE,Date de clôture: 17/09/2024,BONDOUKOU,MASCULIN,3EME,"ACCUEILLIR CORDIALEMENT LES CLIENTS
PROCEDER AUX ENCAISSEMENTS
PRODUIRE LE RAPPORT DE CAISSE"
COMMERCIAL,Date de clôture: 27/09/2024,BONDOUKOU,MASCULIN,TERMINALE,"PROSPECTION AUPRES DES CLIENTS POTENTIELS
CALL CENTER
SERVICE APRES VENTE"
STAGIAIRE TECHNICIEN AGRICOLE,Date de clôture: 12/09/2024,GAGNOA,MASCULIN,BAC+2,
Responsable stérilisation en bloc opératoire,Date de clôture: 08/09/2024,COCODY,MASCULIN,BAC+2,"Missions Principales :
Profil Recherché :"
STAGIAIRE ASSISTANTE DE DIRECTION,Date de clôture: 11/09/2024,TREICHVILLE AVENUE 13 RUE 25,FEMININ,BAC+2,"-GESTION DU PLANNING DU DIRECTEUR
-REDACTION DES COMPTES-RENDUS
PREPARATION DES REUNIONS"
Buandier,Date de clôture: 18/09/2024,COCODY,MASCULIN,TERMINALE,"En tant que Buandier / Buandière, vous serez responsable des tâches suivantes :
Suivi et stockage des linges sales et souillés : Assurer la collecte, le tri et le stockage adéquat des linges sales et souillés dans le respect des normes d'hygiène.
Décompte des linges et production de rapports journaliers : Effectuer un inventaire quotidien des linges traités et produire un rapport journalier détaillant les quantités lavées, repassées et distribuées.
Gestion optimale des stocks : Assurer la gestion efficace des stocks de linge, ainsi que des produits nécessaires à leur entretien (lessive, adoucissants, désinfectants).
Anticipation des besoins : Anticiper les besoins en linge propre en fonction des prévisions et des exigences des services, et s'assurer que les stocks disponibles répondent aux besoins opérationnels.
Surveillance du dispositif médical : Veiller à ce que les dispositifs médicaux (draps, housses, blouses) soient correctement entretenus, et signaler tout besoin de remplacement ou de réparation.
Échange des linges sales : Assurer l'échange quotidien des linges sales par du linge propre dans les différents services/étages, en veillant à la satisfaction des utilisateurs.
Expérience : Une expérience préalable en blanchisserie, buanderie, ou dans un poste similaire est souhaitable.
Compétences techniques : Connaissance des processus de lavage, séchage, repassage et gestion des stocks.
Rigueur et organisation : Capacité à gérer efficacement les tâches et à maintenir des standards élevés de propreté et d'organisation.
Capacité à anticiper : Aptitude à prévoir les besoins et à s'assurer que les stocks et les services sont toujours prêts à répondre aux exigences de l'établissement.
Sens de l’hygiène : Attention particulière à la propreté et au respect des protocoles d'hygiène, surtout dans un environnement médical.
Disponibilité : Flexibilité dans les horaires de travail, notamment pour travailler les week-ends ou les jours fériés si nécessaire."
